_id,shape__area,shape__length,acres,area,district,objectid,perimeter,rams_,rams_id,sqmiles,geometry
11,7156088.63354492,14710.973378261,164.27999878,7156088.394123,12,11,14710.97351115,206,1027,0.25999999,"POLYGON ((586857.6718043327564374 4472041.8196552386507392, 587164.3222706067608669 4471832.6366237988695502, 587079.1096853947965428 4470972.8125066431239247, 586251.0500688363099471 4471244.4262867495417595, 586596.1691764914430678 4472576.9597667418420315, 586857.6718043327564374 4472041.8196552386507392))"
12,98373206.9164429,87529.6073879559,2258.34008789,98373207.84225,12,12,87529.60612285,206,1027,3.52999997,"POLYGON ((588576.8266940151806921 4473694.5189737547188997, 590850.3821747780311853 4471570.8986213468015194, 592226.5221242565894499 4472394.9963278034701943, 591908.7297052203211933 4470684.9987982241436839, 593379.2502897862577811 4468886.1541758775711060, 589516.5707469524350017 4470034.2318904520943761, 590295.5416674858424813 4471455.8412028383463621, 587328.4242040222743526 4472977.0442754765972495, 588576.8266940151806921 4473694.5189737547188997))"
13,35620260.6714478,33928.6422537547,817.72998047,35620260.63441,12,13,33928.64212167,206,1027,1.27999997,"POLYGON ((589236.7599658630788326 4474705.7301029982045293, 589512.5296221617609262 4473938.4616615809500217, 590480.3053492193575948 4474430.8445899607613683, 591129.6648649101844057 4473933.4747450137510896, 590610.8036199713824317 4472639.4467166848480701, 589257.7492109565064311 4472957.3556831339374185, 588811.0852864572079852 4475493.1368152583017945, 589236.7599658630788326 4474705.7301029982045293))"
14,19919901.1883545,36762.702057241,457.29998779,19919901.26925,12,14,36762.7026321,206,1027,0.70999998,"POLYGON ((588271.2128466542344540 4475498.9083613138645887, 588636.8838977982522920 4474877.7868025386705995, 588701.3570446778321639 4473858.4974217489361763, 586913.1526482119224966 4473132.5140706812962890, 586733.0559921062085778 4474227.9767222888767719, 588567.6927775517106056 4473942.6282883314415812, 588413.0918069267645478 4474773.1034680269658566, 587267.8002569307573140 4475411.6164952190592885, 587508.2376173093216494 4476106.3318801829591393, 588271.2128466542344540 4475498.9083613138645887))"
15,7248282.4413147,21424.146915114,166.3999939,7248282.038767,14,15,21424.14689452,112,860,0.25999999,"POLYGON ((583440.9376773055410013 4476990.2840355997905135, 585757.7032506451942027 4476154.2513998141512275, 585794.8198432993376628 4475577.9496853137388825, 584304.3084003640105948 4476249.2860245462507010, 583229.9950215772259980 4477114.8922598212957382, 583440.9376773055410013 4476990.2840355997905135))"
16,33891171.760437,35714.2178608352,778.0300293,33891171.81859,14,16,35714.21786203,112,860,1.22000003,"POLYGON ((586766.3462896642740816 4478829.5788084454834461, 585427.5596496186917648 4477244.9588567819446325, 585810.7404515406815335 4477536.7864965600892901, 586276.2366371043026447 4476518.2502332581207156, 583688.2743989529553801 4477243.0615171520039439, 586766.3462896642740816 4478829.5788084454834461))"
17,107743886.988586,55963.7064663024,2473.45996094,107743886.2277,1,17,55963.70606339,6,761,3.8599999,"POLYGON ((591722.1210289209848270 4482500.8715728064998984, 594585.0309362519765273 4481905.4683121480047703, 594108.7456953683868051 4479614.7290533259510994, 594988.7794562738854438 4478896.9834105353802443, 592218.0022130901925266 4478721.7223466485738754, 590657.8449454052606598 4479752.4336943393573165, 591722.1210289209848270 4482500.8715728064998984))"
18,7809344.18438721,13583.0736480356,179.27999878,7809344.830607,1,18,13583.07371282,6,761,0.28,"POLYGON ((594532.8643577519105747 4482618.9065773645415902, 594184.7281710671959445 4482197.6839543208479881, 593098.0927045909920707 4482440.0507076065987349, 593430.5152136303950101 4482490.2644084068015218, 593484.3558619460090995 4483011.1794638046994805, 594526.0552834648406133 4482815.8655210966244340, 594532.8643577519105747 4482618.9065773645415902))"
19,2127233.19110107,9007.30999241325,48.83000183,2127233.177859,6,19,9007.31045086,9,798,0.08,"POLYGON ((586438.9918310625944287 4479349.2889638775959611, 586701.8264199317200109 4480025.0794332064688206, 587102.3444067736854777 4480443.1245256680995226, 586832.6295677034649998 4479824.1298271743580699, 586438.9918310625944287 4479349.2889638775959611))"
20,130624825.624573,57392.2060561348,2998.72998047,130624825.5068,6,20,57392.2065159,9,798,4.69000006,"POLYGON ((590524.2427688670577481 4482738.1702986694872379, 591866.6323150227544829 4481431.0314526846632361, 590379.2762898966902867 4479057.2597000831738114, 586890.9540349713061005 4478700.7654729178175330, 588201.4497362999245524 4481762.6115199467167258, 590524.2427688670577481 4482738.1702986694872379))"
